File_name,Right_foot,Left_foot,Length_between_ankles,speed_per_frame,steps_per_frame
AgentCodyBanks_climb_stairs_f_cm_np1_fr_med_9.avi,"[0.5664777755737305, 0.9226522445678711]","[0.5921971797943115, 0.8746145367622375]",0.054489532,0.012211669,0.040705563
AgentCodyBanks_climb_stairs_f_cm_np1_fr_med_9.avi,"[0.582283616065979, 0.8934253454208374]","[0.5821647644042969, 0.8838326930999756]",0.009593389,0.012211669,0.040705563
AgentCodyBanks_climb_stairs_f_cm_np1_fr_med_9.avi,"[0.5855535864830017, 0.8857324719429016]","[0.5823357701301575, 0.8852058053016663]",0.003260632,0.012211669,0.040705563
AgentCodyBanks_climb_stairs_f_cm_np1_fr_med_9.avi,"[0.581751823425293, 0.895192563533783]","[0.5828673839569092, 0.8982729315757751]",0.003276148,0.012211669,0.040705563
AgentCodyBanks_climb_stairs_f_cm_np1_fr_med_9.avi,"[0.5928503274917603, 0.8969436287879944]","[0.57016921043396, 0.9193906784057617]",0.031910862,0.012211669,0.040705563
AgentCodyBanks_climb_stairs_f_cm_np1_fr_med_9.avi,"[0.6032431125640869, 0.8906885385513306]","[0.5641531944274902, 0.9301702380180359]",0.055559214,0.012211669,0.040705563
AgentCodyBanks_climb_stairs_f_cm_np1_fr_med_9.avi,"[0.6074190735816956, 0.88004070520401]","[0.5625861287117004, 0.9413110017776489]",0.075921289,0.012211669,0.040705563
AgentCodyBanks_climb_stairs_f_cm_np1_fr_med_9.avi,"[0.607986330986023, 0.8776841759681702]","[0.5616714954376221, 0.9412647485733032]",0.078661002,0.012211669,0.040705563
AgentCodyBanks_climb_stairs_f_cm_np1_fr_med_9.avi,"[0.6078582406044006, 0.8584394454956055]","[0.5671849846839905, 0.9344211220741272]",0.086183113,0.012211669,0.040705563
AgentCodyBanks_climb_stairs_f_cm_np1_fr_med_9.avi,"[0.6098744869232178, 0.8561325669288635]","[0.576355516910553, 0.9367986917495728]",0.087352991,0.012211669,0.040705563
AgentCodyBanks_climb_stairs_f_cm_np1_fr_med_9.avi,"[0.6050137281417847, 0.8668062686920166]","[0.5851895213127136, 0.9154585003852844]",0.052536072,0.012211669,0.040705563
AgentCodyBanks_climb_stairs_f_cm_np1_fr_med_9.avi,"[0.5963817834854126, 0.8738963007926941]","[0.5978817343711853, 0.927781879901886]",0.053906451,0.012211669,0.040705563
AgentCodyBanks_climb_stairs_f_cm_np1_fr_med_9.avi,"[0.5925663709640503, 0.8765382766723633]","[0.5988155007362366, 0.9280350208282471]",0.051874524,0.012211669,0.040705563
AgentCodyBanks_climb_stairs_f_cm_np1_fr_med_9.avi,"[0.5851739645004272, 0.8914164900779724]","[0.6075751781463623, 0.9356829524040222]",0.049611834,0.012211669,0.040705563
AgentCodyBanks_climb_stairs_f_cm_np1_fr_med_9.avi,"[0.5650802254676819, 0.902035653591156]","[0.6245679259300232, 0.9338805079460144]",0.067475042,0.012211669,0.040705563
AgentCodyBanks_climb_stairs_f_cm_np1_fr_med_9.avi,"[0.5540016889572144, 0.906408965587616]","[0.6386041641235352, 0.9220812916755676]",0.086041854,0.012211669,0.040705563
AgentCodyBanks_climb_stairs_f_cm_np1_fr_med_9.avi,"[0.5606234669685364, 0.9114618897438049]","[0.6462259888648987, 0.9059283137321472]",0.085781188,0.012211669,0.040705563
AgentCodyBanks_climb_stairs_f_cm_np1_fr_med_9.avi,"[0.5611368417739868, 0.9115992188453674]","[0.6467017531394958, 0.9028427600860596]",0.086011799,0.012211669,0.040705563
AgentCodyBanks_climb_stairs_f_cm_np1_fr_med_9.avi,"[0.5671274662017822, 0.9097499847412109]","[0.6522294282913208, 0.8685108423233032]",0.094567493,0.012211669,0.040705563
AgentCodyBanks_climb_stairs_f_cm_np1_fr_med_9.avi,"[0.5840917229652405, 0.9077986478805542]","[0.6486701965332031, 0.8469507694244385]",0.088729046,0.012211669,0.040705563
AgentCodyBanks_climb_stairs_f_cm_np1_fr_med_9.avi,"[0.6138015389442444, 0.8808678984642029]","[0.6390149593353271, 0.8345709443092346]",0.052717403,0.012211669,0.040705563
AgentCodyBanks_climb_stairs_f_cm_np1_fr_med_9.avi,"[0.6262863874435425, 0.8534323573112488]","[0.621152400970459, 0.8594295978546143]",0.0078946,0.012211669,0.040705563
AgentCodyBanks_climb_stairs_f_cm_np1_fr_med_9.avi,"[0.628779947757721, 0.848201334476471]","[0.6193670034408569, 0.8663014769554138]",0.020401438,0.012211669,0.040705563
AgentCodyBanks_climb_stairs_f_cm_np1_fr_med_9.avi,"[0.6286871433258057, 0.8763478994369507]","[0.6204648017883301, 0.8697553873062134]",0.010538886,0.012211669,0.040705563
AgentCodyBanks_climb_stairs_f_cm_np1_fr_med_9.avi,"[0.6196854114532471, 0.8474971652030945]","[0.6360355019569397, 0.8902339339256287]",0.045757588,0.012211669,0.040705563
AgentCodyBanks_climb_stairs_f_cm_np1_fr_med_9.avi,"[0.6149078011512756, 0.8488420248031616]","[0.6477007865905762, 0.8895124793052673]",0.052244289,0.012211669,0.040705563
AgentCodyBanks_climb_stairs_f_cm_np1_fr_med_9.avi,"[0.6531912684440613, 0.8561273217201233]","[0.5981857180595398, 0.8468915820121765]",0.055775527,0.012211669,0.040705563
AgentCodyBanks_climb_stairs_f_cm_np1_fr_med_9.avi,"[0.6322676539421082, 0.8494670391082764]","[0.6437913179397583, 0.8583935499191284]",0.014576605,0.012211669,0.040705563
AgentCodyBanks_climb_stairs_f_cm_np1_fr_med_9.avi,"[0.6632344722747803, 0.8430545330047607]","[0.6151205897331238, 0.8521384000778198]",0.048963888,0.012211669,0.040705563
AgentCodyBanks_climb_stairs_f_cm_np1_fr_med_9.avi,"[0.6676635146141052, 0.8203905820846558]","[0.6374528408050537, 0.8406745195388794]",0.0363885,0.012211669,0.040705563
AgentCodyBanks_climb_stairs_f_cm_np1_fr_med_9.avi,"[0.6588639616966248, 0.7761445641517639]","[0.6363032460212708, 0.8344315886497498]",0.062500905,0.012211669,0.040705563
AgentCodyBanks_climb_stairs_f_cm_np1_fr_med_9.avi,"[0.6562474966049194, 0.8002046942710876]","[0.6467961668968201, 0.8005895018577576]",0.00945916,0.012211669,0.040705563
